Colour,Lower Bound of Range,Upper Bound of Range,Spike Size,Occurences
White,1,0,1,59,0
White,1,1,1,0,122
White,1,1,1,1,8
White,1,1,1,2,9
White,1,1,1,3,14
White,1,1,1,4,10
White,1,1,1,5,9
White,1,1,1,6,13
White,1,1,1,7,19
White,1,1,1,8,17
White,1,1,1,9,7
White,1,1,1,10,9
White,1,1,1,11,3
White,1,1,1,12,5
White,1,1,1,13,5
White,1,1,1,14,9
White,1,1,1,15,1
White,1,1,1,16,2
White,1,1,1,17,1
White,1,1,1,18,5
White,1,1,1,19,0
White,1,1,1,20,2
White,1,1,1,21,5
White,1,1,1,22,1
White,1,1,1,23,1
White,1,1,1,24,1
White,1,1,1,25,2
White,1,1,1,26,1
White,1,1,1,27,0
White,1,1,1,28,1
White,1,1,1,29,0
White,1,1,1,30,1
White,1,1,1,31,0
White,1,1,1,32,1
White,1,1,1,33,1
White,1,1,1,34,5
White,1,1,1,35,1
White,1,1,1,36,3
White,1,1,1,37,1
White,1,1,1,38,0
White,1,1,1,39,1
White,1,1,1,40,2
White,1,1,1,41,2
White,1,1,1,42,0
White,1,1,1,43,1
White,1,1,1,44,0
White,1,1,1,45,1
White,1,1,1,46,0
White,1,1,1,47,1
White,1,1,1,48,1
White,1,1,1,49,0
White,1,1,1,50,2
White,1,1,1,51,3
White,1,1,1,52,1
White,1,1,1,53,0
White,1,1,1,54,0
White,1,1,1,55,2
White,1,1,1,56,0
White,1,1,1,57,0
White,1,1,1,58,0
White,1,1,1,59,0
White,1,1,1,0,137
White,1,1,1,1,20
White,1,1,1,2,5
White,1,1,1,3,18
White,1,1,1,4,15
White,1,1,1,5,9
White,1,1,1,6,12
White,1,1,1,7,11
White,1,1,1,8,6
White,1,1,1,9,1
White,1,1,1,10,11
White,1,1,1,11,2
White,1,1,1,12,3
White,1,1,1,13,2
White,1,1,1,14,2
White,1,1,1,15,2
White,1,1,1,16,3
White,1,1,1,17,3
White,1,1,1,18,9
White,1,1,1,19,1
White,1,1,1,20,1
White,1,1,1,21,6
White,1,1,1,22,3
White,1,1,1,23,2
White,1,1,1,24,4
White,1,1,1,25,4
White,1,1,1,26,3
White,1,1,1,27,0
White,1,1,1,28,0
White,1,1,1,29,0
White,1,1,1,30,0
White,1,1,1,31,1
White,1,1,1,32,0
White,1,1,1,33,0
White,1,1,1,34,1
White,1,1,1,35,3
White,1,1,1,36,2
White,1,1,1,37,1
White,1,1,1,38,0
White,1,1,1,39,1
White,1,1,1,40,1
White,1,1,1,41,0
White,1,1,1,42,0
White,1,1,1,43,0
White,1,1,1,44,1
White,1,1,1,45,1
White,1,1,1,46,1
White,1,1,1,47,0
White,1,1,1,48,1
White,1,1,1,49,0
White,1,1,1,50,0
White,1,1,1,51,1
White,1,1,1,52,0
White,1,1,1,53,0
White,1,1,1,54,0
White,1,1,1,55,0
White,1,1,1,56,1
White,1,1,1,57,1
White,1,1,1,58,0
White,1,1,1,59,0
White,1,1,2,0,126
White,1,1,2,1,16
White,1,1,2,2,9
White,1,1,2,3,7
White,1,1,2,4,18
White,1,1,2,5,7
White,1,1,2,6,7
White,1,1,2,7,7
White,1,1,2,8,5
White,1,1,2,9,3
White,1,1,2,10,10
White,1,1,2,11,2
White,1,1,2,12,3
White,1,1,2,13,9
White,1,1,2,14,3
White,1,1,2,15,10
White,1,1,2,16,3
White,1,1,2,17,5
White,1,1,2,18,4
White,1,1,2,19,9
White,1,1,2,20,3
White,1,1,2,21,6
White,1,1,2,22,1
White,1,1,2,23,2
White,1,1,2,24,2
White,1,1,2,25,3
White,1,1,2,26,5
White,1,1,2,27,1
White,1,1,2,28,1
White,1,1,2,29,1
White,1,1,2,30,0
White,1,1,2,31,0
White,1,1,2,32,0
White,1,1,2,33,1
White,1,1,2,34,1
White,1,1,2,35,4
White,1,1,2,36,1
White,1,1,2,37,2
White,1,1,2,38,3
White,1,1,2,39,2
White,1,1,2,40,1
White,1,1,2,41,0
White,1,1,2,42,1
White,1,1,2,43,0
White,1,1,2,44,1
White,1,1,2,45,0
White,1,1,2,46,0
White,1,1,2,47,0
White,1,1,2,48,2
White,1,1,2,49,2
White,1,1,2,50,0
White,1,1,2,51,0
White,1,1,2,52,0
White,1,1,2,53,1
White,1,1,2,54,0
White,1,1,2,55,0
White,1,1,2,56,1
White,1,1,2,57,0
White,1,1,2,58,0
White,1,1,2,59,0
White,1,2,3,0,143
White,1,2,3,1,11
White,1,2,3,2,12
White,1,2,3,3,9
White,1,2,3,4,13
White,1,2,3,5,5
White,1,2,3,6,4
White,1,2,3,7,8
White,1,2,3,8,4
White,1,2,3,9,4
White,1,2,3,10,9
White,1,2,3,11,0
White,1,2,3,12,3
White,1,2,3,13,6
White,1,2,3,14,4
White,1,2,3,15,6
White,1,2,3,16,6
White,1,2,3,17,3
White,1,2,3,18,12
White,1,2,3,19,5
White,1,2,3,20,1
White,1,2,3,21,4
White,1,2,3,22,2
White,1,2,3,23,7
White,1,2,3,24,4
White,1,2,3,25,2
White,1,2,3,26,2
White,1,2,3,27,1
White,1,2,3,28,5
White,1,2,3,29,2
White,1,2,3,30,2
White,1,2,3,31,0
White,1,2,3,32,1
White,1,2,3,33,2
White,1,2,3,34,2
White,1,2,3,35,4
White,1,2,3,36,0
White,1,2,3,37,0
White,1,2,3,38,0
White,1,2,3,39,1
White,1,2,3,40,0
White,1,2,3,41,0
White,1,2,3,42,0
White,1,2,3,43,0
White,1,2,3,44,0
White,1,2,3,45,0
White,1,2,3,46,0
White,1,2,3,47,0
White,1,2,3,48,1
White,1,2,3,49,0
White,1,2,3,50,2
White,1,2,3,51,0
White,1,2,3,52,0
White,1,2,3,53,0
White,1,2,3,54,0
White,1,2,3,55,0
White,1,2,3,56,0
White,1,2,3,57,0
White,1,2,3,58,0
White,1,2,3,59,0
White,1,3,4,0,153
White,1,3,4,1,13
White,1,3,4,2,14
White,1,3,4,3,13
White,1,3,4,4,4
White,1,3,4,5,9
White,1,3,4,6,8
White,1,3,4,7,12
White,1,3,4,8,5
White,1,3,4,9,0
White,1,3,4,10,10
White,1,3,4,11,2
White,1,3,4,12,3
White,1,3,4,13,3
White,1,3,4,14,7
White,1,3,4,15,5
White,1,3,4,16,2
White,1,3,4,17,3
White,1,3,4,18,6
White,1,3,4,19,2
White,1,3,4,20,3
White,1,3,4,21,2
White,1,3,4,22,4
White,1,3,4,23,5
White,1,3,4,24,2
White,1,3,4,25,1
White,1,3,4,26,1
White,1,3,4,27,2
White,1,3,4,28,1
White,1,3,4,29,0
White,1,3,4,30,2
White,1,3,4,31,1
White,1,3,4,32,1
White,1,3,4,33,0
White,1,3,4,34,1
White,1,3,4,35,3
White,1,3,4,36,0
White,1,3,4,37,0
White,1,3,4,38,0
White,1,3,4,39,0
White,1,3,4,40,1
White,1,3,4,41,1
White,1,3,4,42,0
White,1,3,4,43,0
White,1,3,4,44,1
White,1,3,4,45,0
White,1,3,4,46,0
White,1,3,4,47,2
White,1,3,4,48,1
White,1,3,4,49,0
White,1,3,4,50,0
White,1,3,4,51,0
White,1,3,4,52,1
White,1,3,4,53,1
White,1,3,4,54,0
White,1,3,4,55,1
White,1,3,4,56,0
White,1,3,4,57,0
White,1,3,4,58,0
White,1,3,4,59,0
White,1,4,5,0,145
White,1,4,5,1,23
White,1,4,5,2,13
White,1,4,5,3,10
White,1,4,5,4,9
White,1,4,5,5,4
White,1,4,5,6,9
White,1,4,5,7,16
White,1,4,5,8,1
White,1,4,5,9,2
White,1,4,5,10,6
White,1,4,5,11,3
White,1,4,5,12,4
White,1,4,5,13,4
White,1,4,5,14,7
White,1,4,5,15,10
White,1,4,5,16,5
White,1,4,5,17,3
White,1,4,5,18,1
White,1,4,5,19,1
White,1,4,5,20,1
White,1,4,5,21,6
White,1,4,5,22,0
White,1,4,5,23,0
White,1,4,5,24,4
White,1,4,5,25,2
White,1,4,5,26,0
White,1,4,5,27,2
White,1,4,5,28,2
White,1,4,5,29,0
White,1,4,5,30,2
White,1,4,5,31,1
White,1,4,5,32,3
White,1,4,5,33,0
White,1,4,5,34,1
White,1,4,5,35,0
White,1,4,5,36,0
White,1,4,5,37,0
White,1,4,5,38,0
White,1,4,5,39,1
White,1,4,5,40,0
White,1,4,5,41,0
White,1,4,5,42,2
White,1,4,5,43,0
White,1,4,5,44,0
White,1,4,5,45,0
White,1,4,5,46,3
White,1,4,5,47,2
White,1,4,5,48,2
White,1,4,5,49,0
White,1,4,5,50,0
White,1,4,5,51,0
White,1,4,5,52,0
White,1,4,5,53,0
White,1,4,5,54,1
White,1,4,5,55,0
White,1,4,5,56,1
White,1,4,5,57,0
White,1,4,5,58,0
White,1,4,5,59,0
White,1,5,6,0,139
White,1,5,6,1,21
White,1,5,6,2,20
White,1,5,6,3,13
White,1,5,6,4,7
White,1,5,6,5,12
White,1,5,6,6,9
White,1,5,6,7,13
White,1,5,6,8,0
White,1,5,6,9,3
White,1,5,6,10,9
White,1,5,6,11,4
