line,epoch,date,time,activity,marker,sleep/wake,intervalstatus,s/wstatus,
316,2235,27/06/2013,18:37:30,250,0,1,active,nan,
317,2236,27/06/2013,18:38:00,131,0,1,active,nan,
318,2237,27/06/2013,18:38:30,145,0,1,active,nan,
319,2238,27/06/2013,18:39:00,771,0,1,active,nan,
320,2239,27/06/2013,18:39:30,382,0,1,active,nan,
321,2240,27/06/2013,18:40:00,266,0,1,active,nan,
322,2241,27/06/2013,18:40:30,242,0,1,active,nan,
323,2242,27/06/2013,18:41:00,141,0,1,active,nan,
324,2243,27/06/2013,18:41:30,118,0,1,active,nan,
325,2244,27/06/2013,18:42:00,150,0,1,active,nan,
326,2245,27/06/2013,18:42:30,185,0,1,active,nan,
327,2246,27/06/2013,18:43:00,61,0,1,active,nan,
328,2247,27/06/2013,18:43:30,136,0,1,active,nan,
329,2248,27/06/2013,18:44:00,266,0,1,active,nan,
330,2249,27/06/2013,18:44:30,102,0,1,active,nan,
331,2250,27/06/2013,18:45:00,61,0,1,active,nan,
332,2251,27/06/2013,18:45:30,242,0,1,active,nan,
333,2252,27/06/2013,18:46:00,118,0,1,active,nan,
334,2253,27/06/2013,18:46:30,325,0,1,active,nan,
335,2254,27/06/2013,18:47:00,191,0,1,active,nan,
336,2255,27/06/2013,18:47:30,145,0,1,active,nan,
337,2256,27/06/2013,18:48:00,67,0,1,active,nan,
338,2257,27/06/2013,18:48:30,219,0,1,active,nan,
339,2258,27/06/2013,18:49:00,394,0,1,active,nan,
340,2259,27/06/2013,18:49:30,258,0,1,active,nan,
341,2260,27/06/2013,18:50:00,266,0,1,active,nan,
342,2261,27/06/2013,18:50:30,191,0,1,active,nan,
343,2262,27/06/2013,18:51:00,226,0,1,active,nan,
344,2263,27/06/2013,18:51:30,102,0,1,active,nan,
345,2264,27/06/2013,18:52:00,74,0,1,active,nan,
346,2265,27/06/2013,18:52:30,131,0,1,active,nan,
347,2266,27/06/2013,18:53:00,118,0,1,active,nan,
348,2267,27/06/2013,18:53:30,185,0,1,active,nan,
349,2268,27/06/2013,18:54:00,242,0,1,active,nan,
350,2269,27/06/2013,18:54:30,205,0,1,active,nan,
351,2270,27/06/2013,18:55:00,85,0,1,active,nan,
352,2271,27/06/2013,18:55:30,266,0,1,active,nan,
353,2272,27/06/2013,18:56:00,463,0,1,active,nan,
354,2273,27/06/2013,18:56:30,394,0,1,active,nan,
355,2274,27/06/2013,18:57:00,618,0,1,active,nan,
356,2275,27/06/2013,18:57:30,276,0,1,active,nan,
357,2276,27/06/2013,18:58:00,212,0,1,active,nan,
358,2277,27/06/2013,18:58:30,659,0,1,active,nan,
359,2278,27/06/2013,18:59:00,1090,0,1,active,nan,
360,2279,27/06/2013,18:59:30,903,0,1,active,nan,
361,2280,27/06/2013,19:00:00,1277,0,1,active,nan,
362,2281,27/06/2013,19:00:30,598,0,1,active,nan,
363,2282,27/06/2013,19:01:00,358,0,1,active,nan,
364,2283,27/06/2013,19:01:30,314,0,1,active,nan,
365,2284,27/06/2013,19:02:00,304,0,1,active,nan,
366,2285,27/06/2013,19:02:30,258,0,1,active,nan,
367,2286,27/06/2013,19:03:00,173,0,1,active,nan,
368,2287,27/06/2013,19:03:30,162,0,1,active,nan,
369,2288,27/06/2013,19:04:00,191,0,1,active,nan,
370,2289,27/06/2013,19:04:30,168,0,1,active,nan,
371,2290,27/06/2013,19:05:00,191,0,1,active,nan,
372,2291,27/06/2013,19:05:30,95,0,1,active,nan,
373,2292,27/06/2013,19:06:00,638,0,1,active,nan,
374,2293,27/06/2013,19:06:30,294,0,1,active,nan,
375,2294,27/06/2013,19:07:00,49,0,1,active,nan,
376,2295,27/06/2013,19:07:30,258,0,1,active,nan,
377,2296,27/06/2013,19:08:00,258,0,1,active,nan,
378,2297,27/06/2013,19:08:30,659,0,1,active,nan,
379,2298,27/06/2013,19:09:00,561,0,1,active,nan,
380,2299,27/06/2013,19:09:30,434,0,1,active,nan,
381,2300,27/06/2013,19:10:00,314,0,1,active,nan,
382,2301,27/06/2013,19:10:30,335,0,1,active,nan,
383,2302,27/06/2013,19:11:00,407,0,1,active,nan,
384,2303,27/06/2013,19:11:30,335,0,1,active,nan,
385,2304,27/06/2013,19:12:00,407,0,1,active,nan,
386,2305,27/06/2013,19:12:30,680,0,1,active,nan,
387,2306,27/06/2013,19:13:00,250,0,1,active,nan,
388,2307,27/06/2013,19:13:30,304,0,1,active,nan,
389,2308,27/06/2013,19:14:00,179,0,1,active,nan,
390,2309,27/06/2013,19:14:30,258,0,1,active,nan,
391,2310,27/06/2013,19:15:00,335,0,1,active,nan,
392,2311,27/06/2013,19:15:30,543,0,1,active,nan,
393,2312,27/06/2013,19:16:00,304,0,1,active,nan,
